,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,region,GDP,Medal Values,BMI
9442,87231,Joanna Nowicka-Kwana,F,29.0,164.0,60.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Archery,Archery Women's Team,Bronze,Poland,159942880456.95636,1,22.308149910767405
9443,87235,Wojciech Nowicki,M,27.0,196.0,128.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Hammer Throw,Bronze,Poland,471364408713.95605,1,33.31945022907122
9444,87248,Ramaz Nozadze,M,20.0,184.0,96.0,Georgia,GEO,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver,Georgia,5125273880.749976,1,28.35538752362949
9445,87299,Andrea Nugent,F,19.0,172.0,65.0,Canada,CAN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,Canada,507354351182.254,1,21.971335857220122
9446,87308,Mauro Numa,M,22.0,180.0,76.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's Foil, Individual",Gold,Italy,436443280912.49725,1,23.456790123456788
9447,87308,Mauro Numa,M,22.0,180.0,76.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's Foil, Team",Gold,Italy,436443280912.49725,1,23.456790123456788
9448,87332,Daniel Nez Aguiar,M,21.0,155.0,52.0,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Bantamweight,Gold,Cuba,19912889861.11111,1,21.64412070759625
9449,87339,Jordi Nuez Carretero,M,27.0,190.0,89.0,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,Bronze,Spain,640998292394.5883,1,24.653739612188367
9450,87339,Jordi Nuez Carretero,M,31.0,190.0,89.0,Spain,ESP,2000 Summer,2000,Summer,Sydney,Handball,Handball Men's Handball,Bronze,Spain,595402616546.8951,1,24.653739612188367
9451,87347,Rodrigo Fabin Nez Ortiz,M,23.0,180.0,70.0,Chile,CHI,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Bronze,Chile,6439703434.710243,1,21.604938271604937
9452,87354,"Glynis Leanne Nunn (Saunders-, -Cearns)",F,23.0,168.0,58.0,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Heptathlon,Gold,Australia,193503894222.06122,1,20.549886621315196
9453,87355,John Hamann Nunn,M,26.0,198.0,91.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Double Sculls,Bronze,USA,942500000000.0,1,23.21191715131109
9454,87401,Ruslan Nurudinov,M,24.0,183.0,109.0,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,Gold,Uzbekistan,67220335569.6147,1,32.54800083609543
9455,87427,Stacey Annette Nuveman (-Deniz),F,22.0,183.0,109.0,United States,USA,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Gold,USA,10284779000000.0,1,32.54800083609543
9456,87427,Stacey Annette Nuveman (-Deniz),F,26.0,183.0,109.0,United States,USA,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Gold,USA,12274928000000.0,1,32.54800083609543
9457,87427,Stacey Annette Nuveman (-Deniz),F,30.0,183.0,109.0,United States,USA,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver,USA,14718582000000.0,1,32.54800083609543
9458,87455,Hezekiah Munyoro Nyamau,M,25.0,170.0,68.0,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,Kenya,1353295457.5179822,1,23.529411764705884
9459,87455,Hezekiah Munyoro Nyamau,M,29.0,170.0,68.0,Kenya,KEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,Kenya,2107279157.3833563,1,23.529411764705884
9460,87485,Katja Johanna Alice Nyberg,F,28.0,182.0,76.0,Norway,NOR,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold,Norway,462554432624.1135,1,22.944088878154812
9461,87544,Joni Kalevi Nyman,M,21.0,175.0,65.0,Finland,FIN,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Welterweight,Bronze,Finland,52926394934.705185,1,21.224489795918366
9462,87551,Lacey Pearl Nymeyer (-John),F,22.0,175.0,66.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,USA,14718582000000.0,1,21.551020408163264
9463,87552,Guy Olivier Nyokas,M,30.0,189.0,86.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver,France,2465453975282.239,1,24.075473810923548
9464,87566,Bertil Alexis Nystrm,M,29.0,171.0,73.0,Sweden,SWE,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze,Sweden,21137242560.8543,2,24.96494647925858
9465,87584,Estelle Nze Minko,F,24.0,178.0,67.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Silver,France,2465453975282.239,1,21.146319909102385
9466,87596,O Eun-Seok,M,29.0,181.0,76.0,South Korea,KOR,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Sabre, Team",Gold,South Korea,1222807284485.3147,1,23.198315069747565
9467,87600,O Gyo-Mun,M,24.0,180.0,73.0,South Korea,KOR,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Individual,Bronze,South Korea,598099073901.4233,1,22.530864197530864
9468,87600,O Gyo-Mun,M,24.0,180.0,73.0,South Korea,KOR,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Team,Silver,South Korea,598099073901.4233,1,22.530864197530864
9469,87600,O Gyo-Mun,M,28.0,180.0,73.0,South Korea,KOR,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Team,Gold,South Korea,561633125839.9943,1,22.530864197530864
9470,87604,O Jae-Seok,M,22.0,178.0,73.0,South Korea,KOR,2012 Summer,2012,Summer,London,Football,Football Men's Football,Bronze,South Korea,1222807284485.3147,1,23.04002019946976
9471,87611,O Sang-Eun,M,31.0,186.0,72.0,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Men's Team,Bronze,South Korea,1002219052967.5375,1,20.811654526534856
9472,87611,O Sang-Eun,M,35.0,186.0,72.0,South Korea,KOR,2012 Summer,2012,Summer,London,Table Tennis,Table Tennis Men's Team,Silver,South Korea,1222807284485.3147,2,20.811654526534856
9473,87615,O Seung-Hwan,M,26.0,178.0,92.0,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Gold,South Korea,1002219052967.5375,2,29.036737785633125
9474,87616,O Seung-Rip,M,25.0,175.0,80.0,South Korea,KOR,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Middleweight,Silver,South Korea,10842220468.833515,1,26.122448979591837
9475,87617,O Seung-Sin,F,24.0,165.0,59.0,South Korea,KOR,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Silver,South Korea,598099073901.4233,1,21.6712580348944
9476,87624,O Yong-Gi,M,22.0,188.0,81.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Handball,Handball Men's Handball,Silver,South Korea,196964195387.37064,1,22.917609778180175
9477,87629,Gary James Oakes,M,21.0,177.0,69.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres Hurdles,Bronze,UK,564947710899.3726,1,22.024322512687924
9478,87636,Ecaterina Oancia (Iane-),F,34.0,157.0,44.0,Romania,ROU,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Fours,Bronze,Romania,40809523809.52381,1,17.85062274331616
9479,87636,Ecaterina Oancia (Iane-),F,34.0,157.0,44.0,Romania,ROU,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Eights,Silver,Romania,40809523809.52381,1,17.85062274331616
9480,87651,"Daniel Dion ""Dan"" O'Brien",M,30.0,188.0,84.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,Gold,USA,8100201000000.0,1,23.766410140334994
9481,87660,Lovett Ian O'Brien,M,17.0,185.0,89.0,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 200 metres Breaststroke,Gold,Australia,23787658192.406765,1,26.004382761139514
9482,87660,Lovett Ian O'Brien,M,17.0,185.0,89.0,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Australia,23787658192.406765,1,26.004382761139514
9483,87672,"Michael Jon ""Mike"" O'Brien",M,18.0,198.0,70.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,USA,4040693000000.0,1,17.855320885623918
9484,87674,"William Parry O'Brien, Jr.",M,28.0,190.0,111.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Shot Put,Silver,USA,543300000000.0,1,30.747922437673132
9485,87677,Shane Joseph O'Brien,M,23.0,203.0,96.0,New Zealand,NZL,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxless Fours,Gold,New Zealand,21665456808.047287,1,23.295881967531372
9486,87678,Shaun William O'Brien,M,23.0,179.0,72.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,Australia,325692532492.5017,1,22.47120876377142
9487,87684,Leah Marie O'Brien-Amico,F,21.0,175.0,65.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Gold,USA,8100201000000.0,1,21.224489795918366
9488,87684,Leah Marie O'Brien-Amico,F,26.0,175.0,65.0,United States,USA,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Gold,USA,10284779000000.0,1,21.224489795918366
9489,87684,Leah Marie O'Brien-Amico,F,29.0,175.0,65.0,United States,USA,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Gold,USA,12274928000000.0,1,21.224489795918366
9490,87690,Anthony Obame Mylann,M,23.0,190.0,97.0,Gabon,GAB,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Heavyweight,Silver,Gabon,17171446922.210398,1,26.869806094182827
9491,87694,Hitomi Obara (Sakamoto-),F,31.0,156.0,48.0,Japan,JPN,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Women's Flyweight, Freestyle",Gold,Japan,6203213121334.122,1,19.72386587771203
9492,87710,Patricia Obee,F,24.0,165.0,60.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,Silver,Canada,1529760492201.3523,1,22.03856749311295
9493,87717,Norberto Oberburger,M,23.0,182.0,112.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Heavyweight II,Gold,Italy,436443280912.49725,1,33.8123415046492
9494,87768,Fabricio Ral Jess Oberto,M,31.0,208.0,115.0,Argentina,ARG,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,Gold,Argentina,164657930452.78662,1,26.58099112426035
9495,87768,Fabricio Ral Jess Oberto,M,35.0,208.0,115.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Bronze,Argentina,361558037110.41925,1,26.58099112426035
9496,87776,Rupert John Obholzer,M,26.0,191.0,93.0,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Fours,Bronze,UK,1408781591263.6506,1,25.492722238973712
9497,87792,Hellen Onsando Obiri,F,26.0,160.0,50.0,Kenya,KEN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 5,000 metres",Silver,Kenya,70529014778.32512,1,19.531249999999996
9498,87798,Violetta Oblinger-Peters,F,30.0,170.0,54.0,Austria,AUT,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze,Austria,430294287388.31116,1,18.68512110726644
9499,87801,Aleksey Aleksandrovich Obmochayev,M,23.0,188.0,90.0,Russia,RUS,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Gold,Russia,2210256976945.3755,1,25.46401086464464
9500,87825,Grigore Obreja,M,28.0,180.0,78.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze,Romania,37182938696.07525,1,24.074074074074073
